profile_name,likely_faculty,total_citations,papers,first_year,top_venue,scholar_profile
"Grevelin Ulerio, Ph.D.",no,92,9,2020,"Journal of Child and Family Studies 29 (10), 2697-2709",https://scholar.google.com/citations?user=Fy48_QEAAAAJ&hl=en
Milad Sabouri,no,91,8,2009,2009 Sixth International Conference on Information Technolog,https://scholar.google.com/citations?user=BJXsuUEAAAAJ&hl=en
Muheeb Faizan Ghori,no,82,10,2019,"IntRS@ RecSys, 77-85",https://scholar.google.com/citations?user=q_8GT8QAAAAJ&hl=en
Sunny K Park-Johnson,no,82,14,2012,"Heritage Language Journal 12 (2), 132",https://scholar.google.com/citations?user=h9KaSA8AAAAJ&hl=en
Mary Takgbajouah,no,80,23,2022,"Journal of Addictive Diseases 40 (1), 47-55",https://scholar.google.com/citations?user=P3MJ1VUAAAAJ&hl=en
Gwendolyn Yvonne Alexis,no,78,27,2003,"XVIII ISA World Congress of Sociology (July 13-19, 2014)",https://scholar.google.com/citations?user=YQLAm8UAAAAJ&hl=en
James deBettencourt,no,78,17,1975,Northwestern University,https://scholar.google.com/citations?user=VazMJCcAAAAJ&hl=en
Abu Adnan Sadi,no,69,5,2021,"2021 IEEE 12th Annual Ubiquitous Computing, Electronics & Mo",https://scholar.google.com/citations?user=jNtX0U4AAAAJ&hl=en
Helena Lucia Swanson,no,69,5,2021,Journal of Community Psychology,https://scholar.google.com/citations?user=2Qq8YLcAAAAJ&hl=en
Jennifer Schwartz,no,69,17,2002,"Reference & User Services Quarterly, 253-263",https://scholar.google.com/citations?user=CnzrGqEAAAAJ&hl=en
Matt J. Asztalos,no,67,3,2016,"Journal of Macromolecular Science, Part A 53 (11), 664-668",https://scholar.google.com/citations?user=itR6TDkAAAAJ&hl=en
Amanda Barry,no,66,9,2019,"Springer International Publishing, Cham",https://scholar.google.com/citations?user=wCidneAAAAAJ&hl=en
Jaewon Oh,no,66,4,2018,Unpublished manuscript,https://scholar.google.com/citations?user=rFYWBnEAAAAJ&hl=en
Nick Scope,no,66,13,2021,International Conference on Database and Expert Systems Appl,https://scholar.google.com/citations?user=hlQVBgYAAAAJ&hl=en
Redar Tahsin Ismail ChiCho,no,66,5,2017,Journal of Information Technology and Business Management 2 ,https://scholar.google.com/citations?user=LeCCzrEAAAAJ&hl=en
Yunyi Long,no,65,10,2014,the biennial meeting of the Society for Research on Child De,https://scholar.google.com/citations?user=Ry0K5NYAAAAJ&hl=en
Danesh Kumar,no,63,4,2024,"Sarcoma 10, 11-12",https://scholar.google.com/citations?user=FLzqCEYAAAAJ&hl=en
Jason Winslade,no,63,8,2000,"TDR/The Drama Review 44 (2), 84-100",https://scholar.google.com/citations?user=NTScfpQAAAAJ&hl=en
Matthew J. Clark,no,63,4,2012,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 246,https://scholar.google.com/citations?user=uMQkHioAAAAJ&hl=en
"Tijana Tufek-Memisevic, PhD",no,63,24,2014,Springer Nature,https://scholar.google.com/citations?user=nlTrgTUAAAAJ&hl=en
Keely Bieniak-Fortier,no,59,12,2019,North Central College,https://scholar.google.com/citations?user=SkTzrQ0AAAAJ&hl=en
"Ahmad B. Alnafoosi, Ph.D.",no,58,21,2012,Development Methodologies for Big Data Analytics Systems: Pl,https://scholar.google.com/citations?user=-PkR8EIAAAAJ&hl=en
Max Rodrigues,no,57,4,2018,Available at SSRN 3214001,https://scholar.google.com/citations?user=x_JJkYAAAAAJ&hl=en
Xiaoxiao Deng,no,57,5,2025,"2025 4th International Conference on Robotics, Artificial In",https://scholar.google.com/citations?user=vWvU6rsAAAAJ&hl=en
Yuanying Guan,no,55,11,2011,2021 Joint Mathematics Meetings (JMM),https://scholar.google.com/citations?user=uMAQYIwAAAAJ&hl=en
Charmi Patel,no,54,8,2018,2018 Second International Conference on Intelligent Computin,https://scholar.google.com/citations?user=IoDnJGkAAAAJ&hl=en
Devki A Patel,no,53,8,2021,"Int. J. Psychol. Res. Rev 4, 1-10",https://scholar.google.com/citations?user=jmKMHkQAAAAJ&hl=en
Margaret Heller,no,52,126,2005,ACRL TechConnect Blog,https://scholar.google.com/citations?user=ouGMOkMAAAAJ&hl=en
Qianhui Tian Hub,no,51,3,2020,"Journal of Catholic Education 23 (1), 205-213",https://scholar.google.com/citations?user=wgJvUjAAAAAJ&hl=en
Rami Ghannam,no,51,3,2016,NOMS 2016-2016 IEEE/IFIP Network Operations and Management S,https://scholar.google.com/citations?user=rMK27AIAAAAJ&hl=en
Abdul Moid Mohammed,no,48,6,2021,International Research Journal of Modernization in Engineeri,https://scholar.google.com/citations?user=geVw8coAAAAJ&hl=en
Ting Luan,no,48,1,2017,"Journal of Biomedical Nanotechnology 13 (6), 655-664",https://scholar.google.com/citations?user=Z-zuu18AAAAJ&hl=en
Payam Pourashraf,no,47,12,2013,"ICPRAM, 298-302",https://scholar.google.com/citations?user=rDtu560AAAAJ&hl=en
Burhan Biner,no,40,7,2009,Available at SSRN 1368145,https://scholar.google.com/citations?user=_ju43IQAAAAJ&hl=en
Youya Gao,no,39,8,2014,"Journal of Macromolecular Science, Part A 51 (9), 683-688",https://scholar.google.com/citations?user=AfV4TQgAAAAJ&hl=en
Margaret Abood,no,37,4,2018,"Environmental Pollution 116 (3), 381-389",https://scholar.google.com/citations?user=_wlmGGsAAAAJ&hl=en
Hansa Devi,no,36,3,2025,Journal of Medical & Health Sciences Review 2 (2),https://scholar.google.com/citations?user=mnnZ8scAAAAJ&hl=en
"Marisol Morales, EdD",no,35,11,2011,Crossing Boundaries: Tension and Transformation in Internati,https://scholar.google.com/citations?user=JGBFsgkAAAAJ&hl=en
Rahul Pandya,no,33,12,2021,"Solid State Technology 64 (2), 3079-3089",https://scholar.google.com/citations?user=dFtpg9IAAAAJ&hl=en
Darin Rajan,no,30,2,2013,"US Patent 8,452,347",https://scholar.google.com/citations?user=4WRin-AAAAAJ&hl=en
Daneih Ismail,no,29,7,2019,International Conference on Artificial Intelligence in Educa,https://scholar.google.com/citations?user=Ilf_DlgAAAAJ&hl=en
"Jason Snyder, Ph.D.",no,29,6,2021,"Innovation in Aging 5 (Suppl 1), 772-773",https://scholar.google.com/citations?user=AntZRnEAAAAJ&hl=en
Mary Abo,no,29,2,2021,"Journal of Prevention & Intervention in the Community, 1-14",https://scholar.google.com/citations?user=qX3PtxgAAAAJ&hl=en
Shatabdi Choudhury,no,29,6,2000,"Quality Engineering 12 (3), 439-445",https://scholar.google.com/citations?user=nhfbW2YAAAAJ&hl=en
Atta Yaw Agyeman,no,27,10,2024,International Journal of Innovative Science and Research Tec,https://scholar.google.com/citations?user=UBDckjYAAAAJ&hl=en
Giulia Pellizzato,no,27,22,2015,The Literary Encyclopedia,https://scholar.google.com/citations?user=MEXFAlsAAAAJ&hl=en
Saba Bashir,no,26,6,2016,"Research Journal of Recent Sciences 5 (10), 32-35",https://scholar.google.com/citations?user=OOU_L-sAAAAJ&hl=en
Sara Yavari,no,26,13,2017,2017 IEEE 4th International Conference on Knowledge-Based En,https://scholar.google.com/citations?user=_Lz4ZdgAAAAJ&hl=en
Ester Trujillo,no,25,5,2011,"Camino Real. Estudios Hispanidades Norteamericanas, 3 (5), 1",https://scholar.google.com/citations?user=8wT5E_IAAAAJ&hl=en
Diego Thompson,no,24,1,2021,"Attention, Perception, & Psychophysics 83 (1), 7-17",https://scholar.google.com/citations?user=17dwnOAAAAAJ&hl=en
Drishti Arora,no,24,6,2023,2023 International Conference on Artificial Intelligence for,https://scholar.google.com/citations?user=QdyA0HAAAAAJ&hl=en
Orson Morrison,no,23,2,2003,The Chicago School of Professional Psychology,https://scholar.google.com/citations?user=wddvCakAAAAJ&hl=en
Igor Dubinsky,no,21,3,2006,"DePaul Bus. & Comm. LJ 5, 379",https://scholar.google.com/citations?user=GLS1qO0AAAAJ&hl=en
Erik S. McGuire,no,20,3,2021,Proceedings of the Workshop on Cognitive Modeling and Comput,https://scholar.google.com/citations?user=gdxy5ZQAAAAJ&hl=en
Fang Cao,no,20,6,2018,2021 IEEE Workshop on Machine Learning from User Interaction,https://scholar.google.com/citations?user=Cinb1pMAAAAJ&hl=en
Alexa Nieder,no,18,6,2024,"Drug and alcohol dependence 257, 111127",https://scholar.google.com/citations?user=haXWBcoAAAAJ&hl=en
Arun Gopal Govindaswamy,no,18,5,2020,Proceedings of the 2020 3rd Artificial Intelligence and Clou,https://scholar.google.com/citations?user=4sdmP_sAAAAJ&hl=en
Can Dai,no,18,1,2022,2022 IEEE International Conference on Decentralized Applicat,https://scholar.google.com/citations?user=ukVo7FEAAAAJ&hl=en
Osama Alsaadoun,no,18,2,2019,"International Petroleum Technology Conference, D031S058R001",https://scholar.google.com/citations?user=m0MQgPMAAAAJ&hl=en
Victoria Deiorio,no,18,1,2019,Bloomsbury Publishing,https://scholar.google.com/citations?user=wO9zRcQAAAAJ&hl=en
Yuta Nakamura,no,18,10,2020,2020 IEEE 27th International Conference on High Performance ,https://scholar.google.com/citations?user=OP4KZSYAAAAJ&hl=en
Summer Brown,no,17,1,2016,"Business & Professional Ethics Journal, 199-216",https://scholar.google.com/citations?user=DPw4N8sAAAAJ&hl=en
Mohammad Karimi,no,16,3,2023,IOP Conference Series: Earth and Environmental Science 1196 ,https://scholar.google.com/citations?user=fK5Syp8AAAAJ&hl=en
Shubham Sarote,no,16,7,2019,Journal of Emerging Technologies and Innovative Research (JE,https://scholar.google.com/citations?user=5XDTUPcAAAAJ&hl=en
Tunde Ohiozua,no,16,3,2024,"Int J Res Public Rev 5 (9), 1136-1152",https://scholar.google.com/citations?user=9Ny-4YQAAAAJ&hl=en
L. Edward Allemand,no,15,4,1975,"Revue philosophique de Louvain, 34-55",https://scholar.google.com/citations?user=uHx3s6oAAAAJ&hl=en
Bowen Qiu,no,13,3,2020,2020 42nd Annual International Conference of the IEEE Engine,https://scholar.google.com/citations?user=zxNNpRUAAAAJ&hl=en
Mohammed Azeezulla,no,13,1,2023,2023 IEEE 8th International Conference for Convergence in Te,https://scholar.google.com/citations?user=77xg5qMAAAAJ&hl=en
Stayce Camparo,no,13,6,2020,"Modern Psychological Studies 25 (2), 7",https://scholar.google.com/citations?user=uX-Ub4wAAAAJ&hl=en
Stephen B. Carman,no,13,1,2013,Capella University,https://scholar.google.com/citations?user=Ho5l1aAAAAAJ&hl=en
nina eskandari,no,12,3,2016,Proc. of 5th Int. Conf. on Geotechnical and Geophysical Site,https://scholar.google.com/citations?user=oqttowgAAAAJ&hl=en
Adrienne DePaul,no,11,3,2024,Available at SSRN 5498340,https://scholar.google.com/citations?user=Zu2IrIYAAAAJ&hl=en
Farwah Zaidi,no,11,2,2021,"Addiction research & theory 29 (6), 479-489",https://scholar.google.com/citations?user=grCEJqgAAAAJ&hl=en
Madeline A. Nievera,no,11,2,2020,"Innovation in Aging 4 (Suppl 1), 502",https://scholar.google.com/citations?user=xr-rJ98AAAAJ&hl=en
Alisa Levin,no,10,3,2006,"Int'l J. Civ. Soc'y L. 4, 73",https://scholar.google.com/citations?user=gWY_NF4AAAAJ&hl=en
Keith Cochran,no,10,1,1991,"IEEE/AIAA 10th Digital Avionics Systems Conference, 411-415",https://scholar.google.com/citations?user=BSwDZQsAAAAJ&hl=en
"Joy E Stewart Williams, PhD",no,8,2,1980,"University of California, Los Angeles",https://scholar.google.com/citations?user=mFfLEmAAAAAJ&hl=en
Parker Daly Everett,no,8,5,2018,"New German Critique 45 (3), 1-38",https://scholar.google.com/citations?user=Nh0kdVwAAAAJ&hl=en
Timothy Holmes,no,8,2,2018,"APS March Meeting Abstracts 2018, T60. 323",https://scholar.google.com/citations?user=VtyR8wEAAAAJ&hl=en
João Vieira da Silva Neto,no,7,2,2012,"Revista Horizontes de Linguística Aplicada 11 (2), 103-126",https://scholar.google.com/citations?user=YSt58NwAAAAJ&hl=en
Mina Habibollahi,no,7,1,2023,"IEEE Internet of Things Journal 10 (15), 13837-13848",https://scholar.google.com/citations?user=m_lnxrAAAAAJ&hl=en
Jennifer Schwabe,no,6,4,2022,2022 21st IEEE International Conference on Machine Learning ,https://scholar.google.com/citations?user=56FLltUAAAAJ&hl=en
Kaelan Vazquez,no,6,3,2023,OSF,https://scholar.google.com/citations?user=KHAz45kAAAAJ&hl=en
Lebna Thomas,no,6,2,2018,2018 IEEE Workshop on Machine Learning from User Interaction,https://scholar.google.com/citations?user=w0gjahMAAAAJ&hl=en
Aksheytha Chelikavada,no,5,3,2025,arXiv preprint arXiv:2501.17150,https://scholar.google.com/citations?user=gwceyr4AAAAJ&hl=en
Aleksandar Velkoski,no,5,2,2015,"Tourism Economics 21 (2), 325-339",https://scholar.google.com/citations?user=B_CszAkAAAAJ&hl=en
Casey Anne Brimmer,no,5,9,2017,Spectra 9 (1),https://scholar.google.com/citations?user=W50LSQUAAAAJ&hl=en
Diego Izaguirre,no,5,1,2025,arXiv preprint arXiv:2502.10896,https://scholar.google.com/citations?user=Bv6frp8AAAAJ&hl=en
Jan Magree,no,5,2,2007,Available at SSRN 2015808,https://scholar.google.com/citations?user=7gvy6DsAAAAJ&hl=en
Ovetta Sampson,no,5,7,2018,Ethnographic Praxis in Industry Conference Proceedings 2018 ,https://scholar.google.com/citations?user=ciVuISsAAAAJ&hl=en
Royce Fernandes,no,5,2,2017,"Procedia computer science 115, 715-722",https://scholar.google.com/citations?user=hTq8wtIAAAAJ&hl=en
Stefanie A Mockler,no,5,1,2013,"Industrial and Organizational Psychology 6 (4), 476-479",https://scholar.google.com/citations?user=1BkjUHUAAAAJ&hl=en
"Dr. Ariel Sylvester, Ed.D.",no,4,3,2022,Pretty Nerd Publishing,https://scholar.google.com/citations?user=Pdy77DcAAAAJ&hl=en
Evan Edwards,no,4,2,2011,"Aporia 21 (1), 37-49",https://scholar.google.com/citations?user=alf46isAAAAJ&hl=en
Gazzain,no,4,3,2019,"Journal of biomedical physics & engineering 9 (4), 409",https://scholar.google.com/citations?user=T4QumzIAAAAJ&hl=en
Paul Cathey,no,4,2,2023,"Fatigue: Biomedicine, Health & Behavior 11 (2-4), 176-187",https://scholar.google.com/citations?user=lHC68EAAAAAJ&hl=en
Shivam Adke,no,4,1,2018,"Department of Electronics & Telecommunication Engineering, S",https://scholar.google.com/citations?user=rzcpVCwAAAAJ&hl=en
Thalia Tikka,no,4,2,2020,DePaul University,https://scholar.google.com/citations?user=Bnd4gnwAAAAJ&hl=en
Tianyi Tan,no,4,2,2020,"International Conference on Human-Computer Interaction, 473-",https://scholar.google.com/citations?user=9jWq7F0AAAAJ&hl=en
Kelly Chee,no,3,1,2025,"Exploration of Neuroprotective Therapy 5, 1004116",https://scholar.google.com/citations?user=I7qTp1YAAAAJ&hl=en
Mounica Reddy,no,3,3,2022,"Industrial and Organizational Psychology 16 (2), 174-178",https://scholar.google.com/citations?user=DZ3zWZMAAAAJ&hl=en
Autumn Rajcevich Schwer,no,2,1,2024,"Psychological Research 88 (8), 2360-2375",https://scholar.google.com/citations?user=q6v0J_UAAAAJ&hl=en
Christopher E. Cole,no,2,1,2020,"Psychological Inquiry 31 (1), 35-41",https://scholar.google.com/citations?user=WL234ScAAAAJ&hl=en
Harris Ciaccio,no,2,1,2024,"Foundations 4 (3), 362-375",https://scholar.google.com/citations?user=HnVuqJoAAAAJ&hl=en
Kaitlyn Gallagher,no,2,3,2018,"Research Handbook on Gender and Negotiation, 15-30",https://scholar.google.com/citations?user=BrQRoEcAAAAJ&hl=en
Lauren Pytel,no,2,2,2014,,https://scholar.google.com/citations?user=8wdvbCwAAAAJ&hl=en
Maya Mahoney,no,2,3,2005,"Policy 12, 10-2024",https://scholar.google.com/citations?user=cg7o-l0AAAAJ&hl=en
Talha Azaz,no,2,2,2025,"2025 IEEE International Conference on eScience (eScience), 1",https://scholar.google.com/citations?user=QwVXNsYAAAAJ&hl=en
Travis R McBride,no,2,1,2012,Physica D: Nonlinear Phenomena (http://dx.doi.org/10.1016/j.,https://scholar.google.com/citations?user=Rb0Jsv8AAAAJ&hl=en
William G. Gobber,no,2,1,2012,"ACM SIGGRAPH 2012 Posters, 1-1",https://scholar.google.com/citations?user=GRj4MT8AAAAJ&hl=en
Zerrin Bulut,no,2,1,2020,,https://scholar.google.com/citations?user=M0sOCiUAAAAJ&hl=en
Blake Brockway,no,1,2,2008,"DePaul Bus. & Comm. LJ 7, 655",https://scholar.google.com/citations?user=PXiewk4AAAAJ&hl=en
Casey Meadows,no,1,2,2018,"Master’s thesis, DePaul University]. https://tinyurl. com/wh",https://scholar.google.com/citations?user=pvhkjM8AAAAJ&hl=en
Catherine Huber,no,1,1,2023,"Medical Imaging 2023: Computer-Aided Diagnosis 12465, 575-58",https://scholar.google.com/citations?user=wddfyOUAAAAJ&hl=en
Desmond L. Kemp,no,1,1,2022,Indiana University-Purdue University Indianapolis,https://scholar.google.com/citations?user=cKK5KkoAAAAJ&hl=en
Evan O'Donnell,no,1,5,2025,Kant-Studien,https://scholar.google.com/citations?user=IfWBWJcAAAAJ&hl=en
Gilberto Villaseñor III,no,1,1,2014,,https://scholar.google.com/citations?user=ESBM3DUAAAAJ&hl=en
Kelli Dudley,no,1,3,2004,"Pub. Int. L. Rep. 9, 11",https://scholar.google.com/citations?user=Zzfv38kAAAAJ&hl=en
Martin Wasilewski,no,1,2,2021,ChemRxiv 2022 (0524),https://scholar.google.com/citations?user=ZtCSNlkAAAAJ&hl=en
Mohammed J. Khan,no,1,3,2018,ISACA J 4,https://scholar.google.com/citations?user=Ua5lZW8AAAAJ&hl=en
Muhammad Zeeshan Naseer Lilla,no,1,1,,,https://scholar.google.com/citations?user=v6VE4b0AAAAJ&hl=en
Vivek Shravan Gupta,no,1,2,2023,"Grenze International Journal of Engineering and Technology, ",https://scholar.google.com/citations?user=XUhYHpAAAAAJ&hl=en
Aahad Abubaker,no,0,2,2023,IEEE/ACM International Conference for High Performance Compu,https://scholar.google.com/citations?user=s4dCLuwAAAAJ&hl=en
Andrea Fuentes Martínez,no,0,1,2024,"Tempo exterior 25 (48), 71-86",https://scholar.google.com/citations?user=yGSVidAAAAAJ&hl=en
Angela Stenberg,no,0,1,,"DePaul Discoveries 10 (1), 7",https://scholar.google.com/citations?user=hqDkTNEAAAAJ&hl=en
Ankita Mishra,no,0,1,2025,"2025 IEEE International Conference on eScience (eScience), 2",https://scholar.google.com/citations?user=v4KAsMAAAAAJ&hl=en
Baris Dingil,no,0,1,2023,,https://scholar.google.com/citations?user=E4HqJS4AAAAJ&hl=en
Brandon Kong,no,0,1,2024,2024 IEEE Conference on Computational Intelligence in Bioinf,https://scholar.google.com/citations?user=OhF7hiwAAAAJ&hl=en
Carissa E. Dressel,no,0,2,2023,"Journal of the Endocrine Society 7 (Supplement_1), bvad114. ",https://scholar.google.com/citations?user=skz44F4AAAAJ&hl=en
Jake Costello,no,0,1,,,https://scholar.google.com/citations?user=JnuwhGgAAAAJ&hl=en
Jonathan Omisore,no,0,4,2022,OSF,https://scholar.google.com/citations?user=EMYm3vEAAAAJ&hl=en
Josh Knize,no,0,1,2025,International Conference on Document Analysis and Recognitio,https://scholar.google.com/citations?user=B08neNkAAAAJ&hl=en
Julian David Rios Acuña,no,0,1,2021,"Journal of World Philosophies 6 (2), 222-229",https://scholar.google.com/citations?user=QKnSfT8AAAAJ&hl=en
Kaelyn Ellison,no,0,2,2022,Academia.edu,https://scholar.google.com/citations?user=cn-jjrsAAAAJ&hl=en
Megan Stricker,no,0,2,2019,Northern Illinois University,https://scholar.google.com/citations?user=wOV31ZsAAAAJ&hl=en
pramathesh shukla,no,0,2,2026,Available at SSRN 6926998,https://scholar.google.com/citations?user=WRT9BJoAAAAJ&hl=en
Rajan Bastakoti,no,0,2,2026,arXiv preprint arXiv:2606.01338,https://scholar.google.com/citations?user=y1xO2u4AAAAJ&hl=en
Sakshi Gorkhali,no,0,1,2026,arXiv preprint arXiv:2607.10467,https://scholar.google.com/citations?user=G1POiI4AAAAJ&hl=en
Sakshi Jaiswal,no,0,2,2024,,https://scholar.google.com/citations?user=3ry3OVkAAAAJ&hl=en
Sameer Shaik,no,0,5,2025,International Journal of Information and Computer Security 2,https://scholar.google.com/citations?user=zTd6_pQAAAAJ&hl=en
Shizuka Yanagii,no,0,2,2024,"コミュニティ心理学研究 28 (1), 71-77",https://scholar.google.com/citations?user=VTyGGbQAAAAJ&hl=en
Tess Boyd,no,0,2,2025,Journal of Biological Chemistry 301 (5),https://scholar.google.com/citations?user=eemksXMAAAAJ&hl=en
Thibault Linte,no,0,3,2012,Edilivre,https://scholar.google.com/citations?user=AfRCYvAAAAAJ&hl=en
Victoria Carl,no,0,3,2020,University of Alabama Department of History,https://scholar.google.com/citations?user=xMru7xwAAAAJ&hl=en
Virgil Magee,no,0,16,2001,Space War/Space Daily,https://scholar.google.com/citations?user=nFEsEEcAAAAJ&hl=en
Zachariah Seamus Savage,no,0,4,2020,DePaul University,https://scholar.google.com/citations?user=guK8yREAAAAJ&hl=en
